CÓDIGO DE BARRAS;MARCA;PRODUCTO;PESO (ML);COSTO;PRECIO;SEXO;TIPO
00001;Carolina Herrera;Sexy;100 ;37.758;260.000;FEMENINO;
00002;Azzaro;Club N° 1;100 ;37.758;260.000;MASCULINO;
6552864323;Chanel;Chance;50 ;377.700;720.000;FEMENINO;
85805114435;Elizabeth Arden;Red Door;30 ;116.000;360.000;FEMENINO;
679602212434;Mavive;Pino Silvestre Original;40 ;70.000;260.000;MASCULINO;
855714004000;Stella Dustin;Self pour Homme;100 ;81.000;320.000;MASCULINO;
855714004000;Stella Dustin;Self pour Homme;100 ;92.235;340.000;MASCULINO;
855714004017;Stella Dustin;La Priére;100 ;84.000;290.000;FEMENINO;
892456000013;Animale Group;Animale for Women;30 ;81.000;260.000;FEMENINO;
892456000150;Animale Group;Animale for Men;30 ;75.500;260.000;MASCULINO;
3243655312099;Christine Darvin;Aubana;100 ;94.000;290.000;FEMENINO;
3326240027407;Ulric de Varens;Night;100 ;56.000;260.000;MASCULINO;
3326240126612;Ulric de Varens;Jacques Saint Prés Indra;100 ;50.000;260.000;FEMENINO;
3331432800102;Parfums Café;Intenso by Café;30 ;51.000;260.000;FEMENINO;
3349666007891;Paco Rabanne;1 Million;50 ;254.000;590.000;MASCULINO;
3351500981700;Azzaro;Azzaro pour Homme;30 ;95.000;290.000;MASCULINO;
3355992000246;Ted Lapidus;Lapidus pour Homme;30 ;66.000;260.000;MASCULINO;
3355992000260;Ted Lapidus;Lapidus pour Homme;100 ;95.000;320.000;MASCULINO;
3355992002905;Ted Lapidus;pour lui;100 ;95.000;340.000;MASCULINO;
3355992004596;Ted Lapidus;Rumba;100 ;950.000;460.000;FEMENINO;
3442151005829;Yves de Sistelle;Doriane;100 ;81.000;340.000;FEMENINO;
3607346551035;Adidas;Team Five Special Edition;100 ;53.000;260.000;MASCULINO;
3607348556700;Calvin Klein;Eternity Aqua;100 ;220.500;650.000;FEMENINO;
3700608300010;Gilles Cantuel;Arsenal Gold;100 ;100.000;380.000;MASCULINO;
3700608300011;Gilles Cantuel;Arsenal Blue;100 ;100.000;380.000;MASCULINO;
4004711262401;P&G Prestige Beauté;Gabriela Sabatini;30 ;75.500;260.000;FEMENINO;
5425017731016;New Brand Perfumes;Prestige Extasia for Women;100 ;48.000;260.000;FEMENINO;
5425017732389;Parfums Des Champs;Cuba Original Gold for Men;100 ;34.000;240.000;MASCULINO;
5425017733560;New Brand Perfumes;Prestige US Army;100 ;50.000;260.000;MASCULINO;
5425017734277;New Brand Perfumes;Prestige Gold for Men;100 ;50.000;260.000;MASCULINO;
5425017734314;New Brand Perfumes;Prestige Gold for Women;100 ;50.000;260.000;FEMENINO;
5425017734321;New Brand Perfumes;Unic;100 ;48.000;260.000;MASCULINO;
5425017734468;New Brand Perfumes;In Love for Women;100 ;44.000;260.000;FEMENINO;
5425017735076;New Brand Perfumes;Prestige Princess Dreaming;100 ;51.000;260.000;FEMENINO;
5425017735113;New Brand Perfumes;Prestige Ego Gold for Men;100 ;50.000;260.000;MASCULINO;
5425017735137;New Brand Perfumes;Prestige Velvet for Women;100 ;48.000;260.000;FEMENINO;
5425017735151;New Brand Perfumes;Fluo Pink for Women;100 ;48.000;260.000;FEMENINO;
5425017735939;Chic 'N Glam Perfumes;Elixir for Women;75 ;56.000;260.000;FEMENINO;
5425017735939;Chic 'N Glam Perfumes;Elixir for Women;75 ;55.620;260.000;FEMENINO;
5425017736004;Chic 'N Glam Perfumes;Ò de la Vie for Women;80 ;56.000;260.000;FEMENINO;
5425017736363;Parfums Des Champs;Cuba Royal for Men;100 ;33.540;240.000;MASCULINO;
5425017736431;New Brand Perfumes;Prestige 4 Women Delicious;100 ;48.000;260.000;FEMENINO;
5425039220109;Master of New Brand;Essence Pink Gold for Women;100 ;56.000;260.000;FEMENINO;
5425039220161;New Brand Perfumes;Prestige Invincible for Men;100 ;50.000;260.000;MASCULINO;
6291103661050;Emper;Privé Coral pour Femme;95 ;72.500;290.000;FEMENINO;
6291103661784;Emper;SaGa;100 ;81.000;340.000;FEMENINO;
6291103661791;Emper;Chifon;100 ;81.000;340.000;FEMENINO;
6295124016745;Alta Moda;Sweet Dreams;100 ;53.000;260.000;FEMENINO;
6295124016752;Alta Moda;Eternal Dreams;100 ;53.000;260.000;FEMENINO;
6936711314751;Carlotta Zuofun;Brand Collection N° 001;25 ;48.000;240.000;MASCULINO;
6936711314799;Carlotta Zuofun;Brand Collection N° 005;25 ;48.000;240.000;MASCULINO;
6936711314829;Carlotta Zuofun;Brand Collection N° 008;25 ;48.000;240.000;MASCULINO;
7640111494324;Grès;Cabotine;30 ;56.000;240.000;FEMENINO;
8002135088870;Ferrari Fragrances;Scuderia Ferrari;40 ;81.000;280.000;MASCULINO;
8002135112018;Ferrari Fragrances;Scuderia Ferrari Black;40 ;81.000;280.000;MASCULINO;
8011003814305;Euroitalia;Cheap and Chic Moschino Chic Petals;100 ;215.000;590.000;FEMENINO;
8410225518235;Ágata Ruiz de la Prada;Oh La La!;100 ;78.000;290.000;FEMENINO;
8411061027011;Antonio Banderas;Mediterráneo;100 ;81.000;350.000;MASCULINO;
8411061292488;Antonio Banderas;Mediterráneo;50 ;53.000;250.000;MASCULINO;
8411061341803;Carolina Herrera;212 Men NYC;30 ;120.000;390.000;MASCULINO;
8411061401705;Puig;Agua Brava;100 ;81.000;280.000;MASCULINO;
8411061552063;Antonio Banderas;Spirit for Men;50 ;62.000;280.000;MASCULINO;
8411061552063;Antonio Banderas;Spirit for Men;50 ;61.210;280.000;MASCULINO;
8411061558423;Carolina Herrera;212 Sexy;30 ;165.000;360.000;FEMENINO;
8411061561249;Antonio Banderas;Spirit for Women;50 ;62.000;280.000;FEMENINO;
8411061587911;Antonio Banderas;Antonio (Tester);100 ;73.000;280.000;MASCULINO;
8411061636206;Antonio Banderas;Blue Seduction for Women;50 ;76.000;280.000;FEMENINO;
8411061636275;Antonio Banderas;Blue Seduction;50 ;150.000;280.000;MASCULINO;
8411061645406;Antonio Banderas;Spirit for Men (promo);75 ;28.000;280.000;MASCULINO;
8411061645407;Antonio Banderas;Spirit for Men (After Shave);30 ;28.000;150.000;MASCULINO;
8411061697290;Shakira;S (Clásico);50 ;81.000;280.000;FEMENINO;
8411061698594;Antonio Banderas;Seduction in Black;50 ;73.000;280.000;MASCULINO;
8411061722756;Antonio Banderas;The Golden Secret;100 ;95.000;320.000;MASCULINO;
8411061727935;Antonio Banderas;The Golden Secret;50 ;73.000;280.000;MASCULINO;
8411061759066;Pacha Ibiza;Diva;80 ;70.000;280.000;FEMENINO;
8411061770801;Antonio Banderas;Her Golden Secret;50 ;73.000;280.000;FEMENINO;
8411061771419;Antonio Banderas;Diavolo;50 ;48.000;250.000;MASCULINO;
8411061784280;Antonio Banderas;King of Seduction;50 ;82.000;280.000;MASCULINO;
8411061810606;Shakira;Love Rock!;50 ;81.000;280.000;FEMENINO;
8411061823033;Shakira;Dance;50 ;81.000;290.000;FEMENINO;
8411061833421;Antonio Banderas;Her Golden Secret Kit;80 ;114.595;420.000;FEMENINO;
8411061860564;Antonio Banderas;The Secret Temptation;50 ;81.055;295.000;MASCULINO;
8411061863954;Carolina Herrera;CHHC Privée;50 ;274.000;650.000;FEMENINO;
8431754340616;Jesús Del Pozo;Halloween;30 ;72.500;260.000;FEMENINO;
8431754501512;Jesús Del Pozo;Halloween Man Rock On;75 ;165.000;360.000;MASCULINO;
8715658997795;Omerta;Beautiful Pink;100 ;78.000;260.000;FEMENINO;
